text,prefix,suffix,startTime,endTime
"OK,",, ,0.44,0.46
I’m,, ,0.46,0.54
going,, ,0.54,0.64
to,, ,0.64,0.76
step,, ,0.76,0.88
off,, ,0.88,1.16
the,, ,1.16,1.34
LM,, ,1.34,1.52
now.,,"
",1.52,1.74
That’s,, ,3.38,4.52
one,, ,4.52,4.72
small,, ,4.72,5.28
step,, ,5.28,5.7
for,, ,5.7,6.06
a,, ,6.06,6.18
"man,",, ,6.18,6.44
one,, ,7.84,9.8
giant,, ,9.8,10.88
leap,, ,10.88,11.2
for,, ,11.2,11.56
mankind.,,,11.56,11.74
