text,prefix,suffix,startTime,endTime
I,, ,102.36,102.46
understood,, ,102.46,102.88
as,, ,102.88,103.6
a,, ,103.6,103.72
"child,",, ,103.72,104.14
I,, ,104.68,104.8
thought,, ,104.8,105.1
as,, ,105.1,105.58
a,, ,105.58,105.68
child:,, ,105.68,106.12
but,, ,106.82,106.92
when,, ,106.92,107.12
I,, ,107.12,107.3
became,, ,107.3,107.6
a,, ,107.6,107.9
"man,",, ,107.9,108.16
I,, ,108.8,108.9
put,, ,108.9,109.1
away,, ,109.1,109.4
childish,, ,109.4,109.96
things.,,"

",109.96,110.44
For,12 , ,111.38,111.48
now,, ,111.48,111.74
we,, ,111.74,112.02
see,, ,112.02,112.34
through,, ,112.34,112.62
a,, ,112.62,112.82
"glass,",, ,112.82,113.18
darkly;,, ,113.42,114.26
but,, ,114.36,114.46
then,, ,114.46,114.76
face,, ,114.76,115.16
to,, ,115.16,115.4
face:,, ,115.4,115.68
now,, ,116.42,116.58
I,, ,116.58,116.8
know,, ,116.8,117.1
in,, ,117.1,117.38
part;,, ,117.38,118.2
but,, ,118.32,118.42
then,, ,118.42,118.64
shall,, ,118.64,118.9
I,, ,118.9,119.12
know,, ,119.12,119.24
even,, ,119.42,119.9
as,, ,119.9,120.16
also,, ,120.16,120.56
I,, ,120.56,121.0
am,, ,121.0,121.16
known.,,"

",121.16,121.28
And,13 , ,122.36,122.36
now,, ,122.36,122.66
abideth,, ,122.66,123.3
"faith,",, ,123.3,123.64
"hope,",, ,124.26,124.62
"charity,",, ,125.3,125.72
these,, ,126.4,126.62
three;,, ,126.62,127.7
but,, ,127.84,127.94
the,, ,127.94,128.1
greatest,, ,128.1,128.48
of,, ,128.48,128.8
these,, ,128.8,129.12
is,, ,129.16,129.6
charity.,,,129.6,129.9
